input_artist_name,matched_name,mbid,musicbrainz_country,type,disambiguation,match_status,source_origin_country,source_birth_place,source_current_residence,source_wikidata_id,source_wiki_url,usable_for_network,triage_reason,promotion_source,promotion_reason
Mischa Elman,Mischa Elman,f7824a6b-a63b-45a4-9ca5-d6616c3e5912,US,Person,Russian-American violinist,auto_accept,Ukraine,Talne,United States,Q1391355,https://en.wikipedia.org/wiki/Mischa_Elman,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Leo Ornstein,Leo Ornstein,88e931c0-c22e-45c1-9662-02f52f4ca771,US,Person,Russian-born American avant-garde composer,auto_accept,Ukraine,Kremenchuk,United States,Q1558656,https://en.wikipedia.org/wiki/Leo_Ornstein,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Oksana Lyniv,Oksana Lyniv,6053d13f-ad90-43ea-88a3-6e23765bd1fc,UA,Person,conductor,auto_accept,Ukraine,Brody,Ukraine,Q2017541,https://en.wikipedia.org/wiki/Oksana_Lyniv,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Emil Paur,Emil Paur,3e720882-6b26-405c-858d-65dbe1a9fbcd,AT,Person,,auto_accept,Ukraine,Chernivtsi,Místek,Q78982,https://en.wikipedia.org/wiki/Emil_Paur,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Edvin Marton,Edvin Marton,0b519a75-69a0-4392-83e9-47dc6572d74c,HU,Person,,auto_accept,Ukraine,Vilok,Hungary,Q441053,https://en.wikipedia.org/wiki/Edvin_Marton,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Semen Hulak-Artemovsky,Semyon Hulak-Artemovsky,5600fc5e-0c68-49f9-9f73-9993218d18d1,RU,Person,,auto_accept,Ukraine,Horodyshche,Russian Empire,Q1400433,https://en.wikipedia.org/wiki/Semen_Hulak-Artemovsky,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Anna Fedorova,Anna Fedorova,2238d820-c874-4b9f-b40f-1b1e0b8c916a,UA,Person,,auto_accept,Ukraine,Kyiv,Ukraine,Q125885,https://en.wikipedia.org/wiki/Anna_Fedorova,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Benno Moiseiwitsch,Benno Moiseiwitsch,b2b25392-4ea1-4be7-9d91-1b28a80f69e7,GB,Person,pianist,auto_accept,Ukraine,Odesa,Russian Empire,Q817970,https://en.wikipedia.org/wiki/Benno_Moiseiwitsch,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Mieczysław Horszowski,Mieczysław Horszowski,37cd67d1-a786-4f5c-b91b-14f93b90ca04,PL,Person,pianist,auto_accept,Ukraine,Lviv,Poland,Q918339,https://en.wikipedia.org/wiki/Mieczys%C5%82aw_Horszowski,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Viktoria Leléka,Viktoria Leléka,abdfa2d6-0643-4458-9e37-e2a0e570a361,UA,Person,Ukrainian singer and composer,auto_accept,Ukraine,Shakhtarske,Ukraine,Q111127206,https://en.wikipedia.org/wiki/Viktoria_Lel%C3%A9ka,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Moriz Rosenthal,Moriz Rosenthal,0d6c4730-f0a3-409f-9456-2659942ee9a0,US,Person,"classical pianist and composer, 1862-1946",auto_accept,Ukraine,Lviv,Poland,Q213772,https://en.wikipedia.org/wiki/Moriz_Rosenthal,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Stanisław Skrowaczewski,Stanisław Skrowaczewski,aecfecbb-840e-45ce-8d6c-3a234505c5ac,PL,Person,conductor,auto_accept,Ukraine,Lviv,Poland,Q961581,https://en.wikipedia.org/wiki/Stanis%C5%82aw_Skrowaczewski,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Viorica Ursuleac,Viorica Ursuleac,98c02ab5-fbd2-4c16-b5ef-ef0b0c872734,,Person,soprano,auto_accept,Ukraine,Chernivtsi,Romania,Q270281,https://en.wikipedia.org/wiki/Viorica_Ursuleac,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Karolina Protsenko,Karolina Protsenko,16313bc3-809f-4a9c-8116-5cbbe2b11ac5,,Person,"Ukrainian violinist based in California, USA",auto_accept,Ukraine,Kyiv,Simi Valley,Q91313507,https://en.wikipedia.org/wiki/Karolina_Protsenko,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Monatik,MONATIK,c0199391-00f4-483a-aa8a-d1fe27d05dc6,UA,Person,,auto_accept,Ukraine,Lutsk,Ukraine,Q12124379,https://en.wikipedia.org/wiki/Monatik,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Karol Mikuli,Karol Mikuli,c8c8ab60-4a68-44e7-a203-f86a74f0c2c4,PL,Person,,auto_accept,Ukraine,Chernivtsi,Cisleithania,Q549666,https://en.wikipedia.org/wiki/Karol_Mikuli,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Wojciech Bobowski,Wojciech Bobowski,db7db6d1-3ad2-4466-8065-574162fd1b84,PL,Person,,auto_accept,Ukraine,Lviv,Polish–Lithuanian Commonwealth,Q1360874,https://en.wikipedia.org/wiki/Ali_Ufk%C3%AE,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
