input_artist_name,matched_name,mbid,musicbrainz_country,type,disambiguation,score,match_status,notes,source_name,source_wikidata_id,source_origin_country,source_birth_place,source_current_residence,source_wiki_url
Sergey Nikitin,Сергей Никитин,9eba308b-a676-4e45-80b8-db6dffef08ce,RU,Person,,100,review_needed,Candidate needs manual review.,Sergey Nikitin,Q1029521,Russia,Moscow,Russia,https://en.wikipedia.org/wiki/Sergey_Nikitin_(musician)
Ilya Reznik,Илья Резник,0da162ff-624f-4bfe-aa90-b54e016fad57,RU,Person,,100,review_needed,Candidate needs manual review.,Ilya Reznik,Q1990888,Russia,Saint Petersburg,Russia,https://en.wikipedia.org/wiki/Ilya_Reznik
Vladimir Kuzmin,Владимир Кузьмин,f4a0da40-e4e5-4e00-95d1-d74978228817,,Person,Graphic designer,100,review_needed,Candidate is disambiguated and should be checked manually.,Vladimir Kuzmin,Q2380843,Russia,Moscow,Russia,https://en.wikipedia.org/wiki/Vladimir_Kuzmin
Face,face to face,8a3be197-2afd-4e80-b795-17f9df3aefac,US,Group,90s California punk band,100,review_needed,Candidate is disambiguated and should be checked manually.,Face,Q42296351,Russia,Ufa,Russia,https://en.wikipedia.org/wiki/Face_(rapper)
Stas Mikhaylov,STAS,40fa56f9-f482-49b6-945e-4cb99c3aa841,,Person,founder of Babylon Records,100,review_needed,Candidate is disambiguated and should be checked manually.,Stas Mikhaylov,Q4297411,Russia,Sochi,Russia,https://en.wikipedia.org/wiki/Stas_Mikhaylov
Ivan Dorn,Иван Дорн,52fdb07f-4f10-4493-9fc9-065601eee5eb,UA,Person,,100,review_needed,Candidate needs manual review.,Ivan Dorn,Q4166662,Russia,Chelyabinsk,Ukraine,https://en.wikipedia.org/wiki/Ivan_Dorn
Boris Tchaikovsky,Борис Александрович Чайковский,a5b38b12-80e3-4204-9557-c7309c024147,RU,Person,Russian-Soviet composer,100,review_needed,Candidate is disambiguated and should be checked manually.,Boris Tchaikovsky,Q893609,Russia,Moscow,Russia,https://en.wikipedia.org/wiki/Boris_Tchaikovsky
David Tukhmanov,Давид Тухманов,b7a586c3-bd15-46ee-9cf7-11a22eb67d30,RU,Person,,100,review_needed,Candidate needs manual review.,David Tukhmanov,Q925653,Russia,Moscow,Russia,https://en.wikipedia.org/wiki/David_Tukhmanov
Fyodor Petrovich Tolstoy,Tolstoy,a8af496e-bb46-489e-aa0a-2008113eb1c0,,,A french singer,100,review_needed,Candidate is disambiguated and should be checked manually.,Fyodor Petrovich Tolstoy,Q742253,Russia,Saint Petersburg,Saint Petersburg,https://en.wikipedia.org/wiki/Fyodor_Tolstoy_(artist)
Lev Naumov,Lev Naumov,a20cc149-5c6c-4b9a-939d-93b0979902e6,RU,Person,pianist/composer,100,auto_accept,Very high score and near-exact name match.,Lev Naumov,Q1187114,Russia,Rostov Veliky,Russia,https://en.wikipedia.org/wiki/Lev_Naumov
Stanislav Bunin,Станислав Бунин,6a20a19f-4b89-4958-ae3b-3448ed9a0a67,JP,Person,pianist,100,review_needed,Candidate is disambiguated and should be checked manually.,Stanislav Bunin,Q1190512,Russia,Moscow,Tokyo,https://en.wikipedia.org/wiki/Stanislav_Bunin
Ossip Gabrilowitsch,Осип Сoломонович Габрилович,dc196212-0729-4aa5-aa02-102a194bae01,RU,Person,"pianist, conductor and composer",100,review_needed,Candidate is disambiguated and should be checked manually.,Ossip Gabrilowitsch,Q1344071,Russia,Saint Petersburg,Russian Empire,https://en.wikipedia.org/wiki/Ossip_Gabrilowitsch
Georgy Catoire,Георгий Катуар,aa66a602-2d39-4177-9e00-c766a6c52f3a,RU,Person,Russian composer,100,review_needed,Candidate is disambiguated and should be checked manually.,Georgy Catoire,Q1461106,Russia,Moscow,Russian Empire,https://en.wikipedia.org/wiki/Georgy_Catoire
Andria Balanchivadze,ანდრია ბალანჩივაძე,cae81687-221d-4707-86d5-c3947364c4f4,GE,Person,Georgian composer,100,review_needed,Candidate is disambiguated and should be checked manually.,Andria Balanchivadze,Q1632304,Russia,Saint Petersburg,Georgia,https://en.wikipedia.org/wiki/Andria_Balanchivadze
Leonid Kreutzer,Leonid Kreutzer,c472c297-71dc-4e45-b172-14479c3f826e,DE,Person,,100,auto_accept,Very high score and near-exact name match.,Leonid Kreutzer,Q64864,Russia,Saint Petersburg,Germany,https://en.wikipedia.org/wiki/Leonid_Kreutzer
Yuri Khanon,Yuri Khanon,2b13a216-bd80-456e-b4a6-556879cb1da0,RU,Person,,100,auto_accept,Very high score and near-exact name match.,Yuri Khanon,Q1713908,Russia,Saint Petersburg,Russia,https://en.wikipedia.org/wiki/Yuri_Khanon
Lukas Geniušas,Lukas Geniušas,ae97fe1f-c7f1-435a-9a98-ad02367c9052,LT,Person,pianist,100,auto_accept,Very high score and near-exact name match.,Lukas Geniušas,Q93837,Russia,Moscow,Lithuania,https://en.wikipedia.org/wiki/Lukas_Geniu%C5%A1as
Igor Levit,Igor Levit,2297faf9-2cc0-45c6-bfcf-e9280d640f6d,DE,Person,pianist,100,auto_accept,Very high score and near-exact name match.,Igor Levit,Q100759,Russia,Nizhny Novgorod,Berlin,https://en.wikipedia.org/wiki/Igor_Levit
Yulia Chicherina,Чичерина,12916891-225a-4c4b-a5df-56292d031b41,RU,Group,,100,review_needed,Candidate needs manual review.,Yulia Chicherina,Q2024466,Russia,Yekaterinburg,Russia,https://en.wikipedia.org/wiki/Yulia_Chicherina
Olga Kern,Olga Kern,36515b74-9ad7-4879-bd0d-31461a0800b5,US,Person,pianist,100,auto_accept,Very high score and near-exact name match.,Olga Kern,Q443167,Russia,Moscow,Russia,https://en.wikipedia.org/wiki/Olga_Kern
Jerzy Żurawlew,Jerzy Żurawlew,00abd24b-2ef8-4e6b-8680-13c286c9eac5,PL,Person,pianist,100,auto_accept,Very high score and near-exact name match.,Jerzy Żurawlew,Q2534202,Russia,Rostov-on-Don,Poland,https://en.wikipedia.org/wiki/Jerzy_%C5%BBurawlew
Boris Berman,Boris Berman,a231e945-8fbd-4db5-9c10-e4bade592dc7,RU,Person,pianist,100,auto_accept,Very high score and near-exact name match.,Boris Berman,Q2599508,Russia,Moscow,United States,https://en.wikipedia.org/wiki/Boris_Berman_(musician)
Viktor Kosenko,Віктор Косенко,6e878951-0d02-417c-aaae-0bb127b223a4,UA,Person,"composer, pianist, educator",100,review_needed,Candidate is disambiguated and should be checked manually.,Viktor Kosenko,Q4234841,Russia,Saint Petersburg,Russian Empire,https://en.wikipedia.org/wiki/Viktor_Kosenko
