name,wikidata_id,origin_country,birth_place,current_residence,wiki_url
Alexander Mosolov,Q918640,Ukraine,Kyiv,Moscow,https://en.wikipedia.org/wiki/Alexander_Mosolov
Alexander Uninsky,Q931199,Ukraine,Kyiv,Russian Empire,https://en.wikipedia.org/wiki/Alexander_Uninsky
Tadeusz Szeligowski,Q964782,Ukraine,Lviv,Poland,https://en.wikipedia.org/wiki/Tadeusz_Szeligowski
Benno Moiseiwitsch,Q817970,Ukraine,Odesa,Russian Empire,https://en.wikipedia.org/wiki/Benno_Moiseiwitsch
Leo Sirota,Q1037441,Ukraine,Kamianets-Podilskyi,Kyiv,https://en.wikipedia.org/wiki/Leo_Sirota
Eugene Hütz,Q535444,Ukraine,Boyarka,Ukraine,https://en.wikipedia.org/wiki/Eugene_H%C3%BCtz
Sergei Bortkiewicz,Q742149,Ukraine,Kharkiv,Austria,https://en.wikipedia.org/wiki/Sergei_Bortkiewicz
Oleh Suk,Q504509,Ukraine,Ternopil,Ukraine,https://en.wikipedia.org/wiki/Oleh_Suk
Roza Tamarkina,Q949673,Ukraine,Kyiv,Soviet Union,https://en.wikipedia.org/wiki/Rosa_Tamarkina
Yan Frenkel,Q771374,Ukraine,Kyiv,Soviet Union,https://en.wikipedia.org/wiki/Yan_Frenkel
Alexander Tsfasman,Q1523426,Ukraine,Zaporizhzhia,Russian Empire,https://en.wikipedia.org/wiki/Alexander_Tsfasman
Juliusz Zarębski,Q1245120,Ukraine,Zhytomyr,Poland,https://en.wikipedia.org/wiki/Juliusz_Zar%C4%99bski
Thomas de Hartmann,Q1382528,Ukraine,Choruživka,Soviet Union,https://en.wikipedia.org/wiki/Thomas_de_Hartmann
Yakov Zak,Q1369531,Ukraine,Odesa,Russian Empire,https://en.wikipedia.org/wiki/Yakov_Zak
Aleksander Michałowski,Q1220637,Ukraine,Kamianets-Podilskyi,Poland,https://en.wikipedia.org/wiki/Aleksander_Micha%C5%82owski
Mikhail Alperin,Q1377150,Ukraine,Kamianets-Podilskyi,Norway,https://en.wikipedia.org/wiki/Mikhail_Alperin
Shura Cherkassky,Q713428,Ukraine,Odesa,United States,https://en.wikipedia.org/wiki/Shura_Cherkassky
Maria Grinberg,Q1029399,Ukraine,Odesa,Russian Empire,https://en.wikipedia.org/wiki/Maria_Grinberg
Vladimir Mikhailovich Yurovsky,Q982740,Ukraine,Tarashcha,Russian Empire,https://en.wikipedia.org/wiki/Vladimir_Yurovsky
Leo Ornstein,Q1558656,Ukraine,Kremenchuk,United States,https://en.wikipedia.org/wiki/Leo_Ornstein
Yuri Kasparyan,Q1068795,Ukraine,Simferopol,Saint Petersburg,https://en.wikipedia.org/wiki/Yuri_Kasparyan
Misha Mengelberg,Q1264766,Ukraine,Kyiv,Kingdom of the Netherlands,https://en.wikipedia.org/wiki/Misha_Mengelberg
Ignacy Feliks Dobrzyński,Q1622085,Ukraine,Romaniv,Poland,https://en.wikipedia.org/wiki/Ignacy_Feliks_Dobrzy%C5%84ski
Felix Blumenfeld,Q1349550,Ukraine,Q12111027,Russian Empire,https://en.wikipedia.org/wiki/Felix_Blumenfeld
Julie von Webenau,Q1712216,Ukraine,Lviv,Austrian Empire,https://en.wikipedia.org/wiki/Julie_von_Webenau
Francesco Pollini,Q1351579,Ukraine,Lubiana,Austrian Empire,https://en.wikipedia.org/wiki/Francesco_Pollini
Jadwiga Sarnecka,Q1678208,Ukraine,Volhynia,Poland,https://en.wikipedia.org/wiki/Jadwiga_Sarnecka
Pavel Gintov,Q1646556,Ukraine,Kyiv,Ukraine,https://en.wikipedia.org/wiki/Pavlo_Gintov
Vsevolod Zaderatsky,Q1639391,Ukraine,Rivne,Russian Empire,https://en.wikipedia.org/wiki/Vsevolod_Zaderatsky
Igor Dotsenko,Q4167376,Ukraine,Iziaslav,Russia,https://en.wikipedia.org/wiki/Igor_Dotsenko
Yarmak,Q16054135,Ukraine,Boryspil,Ukraine,https://en.wikipedia.org/wiki/Oleksandr_Yarmak
Venya Drkin,Q1959324,Ukraine,Dovzhanske,Russia,https://en.wikipedia.org/wiki/Venya_D%27rkin
Leonid Nikolayev,Q2023778,Ukraine,Kyiv,Russian Empire,https://en.wikipedia.org/wiki/Leonid_Nikolayev_(pianist)
Verdina Shlonsky,Q2026038,Ukraine,Kremenchuk,Israel,https://en.wikipedia.org/wiki/Verdina_Shlonsky
Vitaly Samoshko,Q2028023,Ukraine,Kharkiv,Ukraine,https://en.wikipedia.org/wiki/Vitaly_Samoshko
Alexander Tsekalo,Q1980399,Ukraine,Kyiv,Moscow,https://en.wikipedia.org/wiki/Aleksandr_Tsekalo
Sun Diego,Q20183816,Ukraine,Chernivtsi,Ukraine,https://en.wikipedia.org/wiki/Sun_Diego
Nikita Dzhigurda,Q2026869,Ukraine,Kyiv,Russia,https://en.wikipedia.org/wiki/Nikita_Dzhigurda
Mikhail Voskresensky,Q1930341,Ukraine,Berdiansk,Russia,https://en.wikipedia.org/wiki/Mikhail_Voskresensky
Konstantin Lifschitz,Q1782725,Ukraine,Kharkiv,Russia,https://en.wikipedia.org/wiki/Konstantin_Lifschitz
Pyotr Todorovsky,Q1890642,Ukraine,Bobrynets,Russia,https://en.wikipedia.org/wiki/Pyotr_Todorovsky
Fedir Yakymenko,Q2000816,Ukraine,Pisky,Ukrainian People's Republic,https://en.wikipedia.org/wiki/Fedir_Yakymenko
Alexander Galich,Q2459284,Ukraine,Dnipro,Soviet Union,https://en.wikipedia.org/wiki/Alexander_Galich_(writer)
Józef Turczyński,Q2089975,Ukraine,Zhytomyr,Poland,https://en.wikipedia.org/wiki/J%C3%B3zef_Turczy%C5%84ski
Samuil Feinberg,Q1971227,Ukraine,Odesa,Russian Empire,https://en.wikipedia.org/wiki/Samuil_Feinberg
Marcelle de Manziarly,Q1893286,Ukraine,Kharkiv,France,https://en.wikipedia.org/wiki/Marcelle_de_Manziarly
Boleslav Yavorsky,Q2471676,Ukraine,Kharkiv,Russian Empire,https://en.wikipedia.org/wiki/Boleslav_Yavorsky
Jan Kleczyński,Q2080097,Ukraine,Ivanychi,Congress Poland,https://en.wikipedia.org/wiki/Jan_Kleczy%C5%84ski_Sr.
Abram Lufer,Q2062937,Ukraine,Kyiv,Soviet Union,https://en.wikipedia.org/wiki/Abram_Lufer
Rodion Azarkhin,Q4058176,Ukraine,Kharkiv,Russia,https://en.wikipedia.org/wiki/Rodion_Azarkhin
Télémaque Lambrino,Q2463804,Ukraine,Odesa,Odesa,https://en.wikipedia.org/wiki/T%C3%A9l%C3%A9maque_Lambrino
Yuri Levitin,Q1974337,Ukraine,Poltava,Soviet Union,https://en.wikipedia.org/wiki/Yuri_Levitin
Alexander Gavrylyuk,Q2082375,Ukraine,Kharkiv,Australia,https://en.wikipedia.org/wiki/Alexander_Gavrylyuk
T-Fest,Q43689915,Ukraine,Chernivtsi,Ukraine,https://en.wikipedia.org/wiki/T-Fest
Serhii Sternenko,Q47489230,Ukraine,Sadove,Ukraine,https://en.wikipedia.org/wiki/Serhii_Sternenko
Igor Krutoy,Q2631745,Ukraine,Haivoron,Russia,https://en.wikipedia.org/wiki/Igor_Krutoy
Alexander Slobodyanik,Q2834037,Ukraine,Kyiv,Ukraine,https://en.wikipedia.org/wiki/Alexander_Slobodyanik
Arkady Filippenko,Q2584747,Ukraine,Kyiv,Soviet Union,https://en.wikipedia.org/wiki/Arkady_Filippenko
Rosina Lhévinne,Q2633099,Ukraine,Kyiv,United States,https://en.wikipedia.org/wiki/Rosina_Lh%C3%A9vinne
Alexander Gustav Winkler,Q2833233,Ukraine,Kharkiv,France,https://en.wikipedia.org/wiki/Alexander_Winkler_(composer)
Alina Pash,Q55108431,Ukraine,Bushtyno,Ukraine,https://en.wikipedia.org/wiki/Alina_Pash
Iryna Bilyk,Q2662849,Ukraine,Kyiv,Soviet Union,https://en.wikipedia.org/wiki/Iryna_Bilyk
