wikidata_id,name,origin_country,month,views
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2023-08,90184
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2023-09,74706
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2023-10,86741
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2023-11,101992
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2023-12,150223
Q117820,Stanisław Szpinalski,Russia,2021-01,97
Q117820,Stanisław Szpinalski,Russia,2021-02,77
Q117820,Stanisław Szpinalski,Russia,2021-03,79
Q117820,Stanisław Szpinalski,Russia,2021-04,71
Q117820,Stanisław Szpinalski,Russia,2021-05,97
Q117820,Stanisław Szpinalski,Russia,2021-06,104
Q117820,Stanisław Szpinalski,Russia,2021-07,113
Q117820,Stanisław Szpinalski,Russia,2021-08,130
Q117820,Stanisław Szpinalski,Russia,2021-09,79
Q117820,Stanisław Szpinalski,Russia,2021-10,324
Q117820,Stanisław Szpinalski,Russia,2021-11,119
Q117820,Stanisław Szpinalski,Russia,2021-12,84
Q117820,Stanisław Szpinalski,Russia,2022-01,132
Q117820,Stanisław Szpinalski,Russia,2022-02,129
Q117820,Stanisław Szpinalski,Russia,2022-03,136
Q117820,Stanisław Szpinalski,Russia,2022-04,110
Q117820,Stanisław Szpinalski,Russia,2022-05,173
Q117820,Stanisław Szpinalski,Russia,2022-06,143
Q117820,Stanisław Szpinalski,Russia,2022-07,130
Q117820,Stanisław Szpinalski,Russia,2022-08,146
Q117820,Stanisław Szpinalski,Russia,2022-09,127
Q117820,Stanisław Szpinalski,Russia,2022-10,123
Q117820,Stanisław Szpinalski,Russia,2022-11,132
Q117820,Stanisław Szpinalski,Russia,2022-12,114
Q117820,Stanisław Szpinalski,Russia,2023-01,132
Q117820,Stanisław Szpinalski,Russia,2023-02,93
Q117820,Stanisław Szpinalski,Russia,2023-03,145
Q117820,Stanisław Szpinalski,Russia,2023-04,134
Q117820,Stanisław Szpinalski,Russia,2023-05,141
Q117820,Stanisław Szpinalski,Russia,2023-06,181
Q117820,Stanisław Szpinalski,Russia,2023-07,114
Q117820,Stanisław Szpinalski,Russia,2023-08,120
Q117820,Stanisław Szpinalski,Russia,2023-09,126
Q117820,Stanisław Szpinalski,Russia,2023-10,135
Q117820,Stanisław Szpinalski,Russia,2023-11,124
Q117820,Stanisław Szpinalski,Russia,2023-12,146
Q115947,Wladimir Vogel,Russia,2021-01,230
Q115947,Wladimir Vogel,Russia,2021-02,291
Q115947,Wladimir Vogel,Russia,2021-03,246
Q115947,Wladimir Vogel,Russia,2021-04,212
Q115947,Wladimir Vogel,Russia,2021-05,217
Q115947,Wladimir Vogel,Russia,2021-06,191
Q115947,Wladimir Vogel,Russia,2021-07,161
Q115947,Wladimir Vogel,Russia,2021-08,223
Q115947,Wladimir Vogel,Russia,2021-09,231
Q115947,Wladimir Vogel,Russia,2021-10,172
Q115947,Wladimir Vogel,Russia,2021-11,185
Q115947,Wladimir Vogel,Russia,2021-12,185
Q115947,Wladimir Vogel,Russia,2022-01,175
Q115947,Wladimir Vogel,Russia,2022-02,228
Q115947,Wladimir Vogel,Russia,2022-03,219
Q115947,Wladimir Vogel,Russia,2022-04,207
Q115947,Wladimir Vogel,Russia,2022-05,243
Q115947,Wladimir Vogel,Russia,2022-06,306
Q115947,Wladimir Vogel,Russia,2022-07,245
Q115947,Wladimir Vogel,Russia,2022-08,234
Q115947,Wladimir Vogel,Russia,2022-09,192
Q115947,Wladimir Vogel,Russia,2022-10,252
Q115947,Wladimir Vogel,Russia,2022-11,216
Q115947,Wladimir Vogel,Russia,2022-12,254
Q115947,Wladimir Vogel,Russia,2023-01,256
Q115947,Wladimir Vogel,Russia,2023-02,186
Q115947,Wladimir Vogel,Russia,2023-03,282
Q115947,Wladimir Vogel,Russia,2023-04,217
Q115947,Wladimir Vogel,Russia,2023-05,189
Q115947,Wladimir Vogel,Russia,2023-06,196
Q115947,Wladimir Vogel,Russia,2023-07,191
Q115947,Wladimir Vogel,Russia,2023-08,194
Q115947,Wladimir Vogel,Russia,2023-09,180
Q115947,Wladimir Vogel,Russia,2023-10,212
Q115947,Wladimir Vogel,Russia,2023-11,203
Q115947,Wladimir Vogel,Russia,2023-12,287
Q112885,Ella Adayevskaya,Russia,2021-01,315
Q112885,Ella Adayevskaya,Russia,2021-02,334
Q112885,Ella Adayevskaya,Russia,2021-03,464
Q112885,Ella Adayevskaya,Russia,2021-04,376
Q112885,Ella Adayevskaya,Russia,2021-05,342
Q112885,Ella Adayevskaya,Russia,2021-06,326
Q112885,Ella Adayevskaya,Russia,2021-07,295
Q112885,Ella Adayevskaya,Russia,2021-08,289
Q112885,Ella Adayevskaya,Russia,2021-09,246
Q112885,Ella Adayevskaya,Russia,2021-10,286
Q112885,Ella Adayevskaya,Russia,2021-11,248
Q112885,Ella Adayevskaya,Russia,2021-12,246
Q112885,Ella Adayevskaya,Russia,2022-01,327
Q112885,Ella Adayevskaya,Russia,2022-02,361
Q112885,Ella Adayevskaya,Russia,2022-03,324
Q112885,Ella Adayevskaya,Russia,2022-04,277
Q112885,Ella Adayevskaya,Russia,2022-05,265
Q112885,Ella Adayevskaya,Russia,2022-06,276
Q112885,Ella Adayevskaya,Russia,2022-07,269
Q112885,Ella Adayevskaya,Russia,2022-08,241
Q112885,Ella Adayevskaya,Russia,2022-09,283
Q112885,Ella Adayevskaya,Russia,2022-10,322
Q112885,Ella Adayevskaya,Russia,2022-11,306
Q112885,Ella Adayevskaya,Russia,2022-12,222
Q112885,Ella Adayevskaya,Russia,2023-01,277
Q112885,Ella Adayevskaya,Russia,2023-02,218
Q112885,Ella Adayevskaya,Russia,2023-03,305
Q112885,Ella Adayevskaya,Russia,2023-04,235
Q112885,Ella Adayevskaya,Russia,2023-05,250
Q112885,Ella Adayevskaya,Russia,2023-06,222
Q112885,Ella Adayevskaya,Russia,2023-07,216
Q112885,Ella Adayevskaya,Russia,2023-08,219
Q112885,Ella Adayevskaya,Russia,2023-09,207
Q112885,Ella Adayevskaya,Russia,2023-10,226
Q112885,Ella Adayevskaya,Russia,2023-11,263
Q112885,Ella Adayevskaya,Russia,2023-12,337
Q112052,Anatol Ugorski,Russia,2021-01,527
Q112052,Anatol Ugorski,Russia,2021-02,409
Q112052,Anatol Ugorski,Russia,2021-03,457
Q112052,Anatol Ugorski,Russia,2021-04,350
Q112052,Anatol Ugorski,Russia,2021-05,430
Q112052,Anatol Ugorski,Russia,2021-06,308
Q112052,Anatol Ugorski,Russia,2021-07,338
Q112052,Anatol Ugorski,Russia,2021-08,334
Q112052,Anatol Ugorski,Russia,2021-09,303
Q112052,Anatol Ugorski,Russia,2021-10,336
Q112052,Anatol Ugorski,Russia,2021-11,333
Q112052,Anatol Ugorski,Russia,2021-12,306
Q112052,Anatol Ugorski,Russia,2022-01,471
Q112052,Anatol Ugorski,Russia,2022-02,376
Q112052,Anatol Ugorski,Russia,2022-03,389
Q112052,Anatol Ugorski,Russia,2022-04,406
Q112052,Anatol Ugorski,Russia,2022-05,382
Q112052,Anatol Ugorski,Russia,2022-06,361
Q112052,Anatol Ugorski,Russia,2022-07,349
Q112052,Anatol Ugorski,Russia,2022-08,358
Q112052,Anatol Ugorski,Russia,2022-09,383
Q112052,Anatol Ugorski,Russia,2022-10,352
Q112052,Anatol Ugorski,Russia,2022-11,401
Q112052,Anatol Ugorski,Russia,2022-12,353
Q112052,Anatol Ugorski,Russia,2023-01,355
Q112052,Anatol Ugorski,Russia,2023-02,281
Q112052,Anatol Ugorski,Russia,2023-03,392
Q112052,Anatol Ugorski,Russia,2023-04,375
Q112052,Anatol Ugorski,Russia,2023-05,344
Q112052,Anatol Ugorski,Russia,2023-06,316
Q112052,Anatol Ugorski,Russia,2023-07,284
Q112052,Anatol Ugorski,Russia,2023-08,343
Q112052,Anatol Ugorski,Russia,2023-09,28662
Q112052,Anatol Ugorski,Russia,2023-10,3280
Q112052,Anatol Ugorski,Russia,2023-11,822
Q112052,Anatol Ugorski,Russia,2023-12,1963
Q118233,Sergey Kuryokhin,Russia,2021-01,1079
Q118233,Sergey Kuryokhin,Russia,2021-02,1101
Q118233,Sergey Kuryokhin,Russia,2021-03,1243
Q118233,Sergey Kuryokhin,Russia,2021-04,1182
Q118233,Sergey Kuryokhin,Russia,2021-05,1192
Q118233,Sergey Kuryokhin,Russia,2021-06,1246
Q118233,Sergey Kuryokhin,Russia,2021-07,1298
Q118233,Sergey Kuryokhin,Russia,2021-08,1132
Q118233,Sergey Kuryokhin,Russia,2021-09,1649
Q118233,Sergey Kuryokhin,Russia,2021-10,1228
Q118233,Sergey Kuryokhin,Russia,2021-11,1218
Q118233,Sergey Kuryokhin,Russia,2021-12,1351
Q118233,Sergey Kuryokhin,Russia,2022-01,1477
Q118233,Sergey Kuryokhin,Russia,2022-02,1375
Q118233,Sergey Kuryokhin,Russia,2022-03,2038
Q118233,Sergey Kuryokhin,Russia,2022-04,1671
Q118233,Sergey Kuryokhin,Russia,2022-05,1488
Q118233,Sergey Kuryokhin,Russia,2022-06,1299
Q118233,Sergey Kuryokhin,Russia,2022-07,1326
Q118233,Sergey Kuryokhin,Russia,2022-08,1947
Q118233,Sergey Kuryokhin,Russia,2022-09,1451
Q118233,Sergey Kuryokhin,Russia,2022-10,1541
Q118233,Sergey Kuryokhin,Russia,2022-11,1460
Q118233,Sergey Kuryokhin,Russia,2022-12,1633
Q118233,Sergey Kuryokhin,Russia,2023-01,1423
Q118233,Sergey Kuryokhin,Russia,2023-02,1127
Q118233,Sergey Kuryokhin,Russia,2023-03,1421
Q118233,Sergey Kuryokhin,Russia,2023-04,1146
Q118233,Sergey Kuryokhin,Russia,2023-05,1248
Q118233,Sergey Kuryokhin,Russia,2023-06,1240
