name,wikidata_id,origin_country,birth_place,current_residence,wiki_url
Sophie Tucker,Q152520,Ukraine,Tulchyn,United States,https://en.wikipedia.org/wiki/Sophie_Tucker
Nina Matviienko,Q2011217,Ukraine,Nedilishche,Soviet Union,https://en.wikipedia.org/wiki/Nina_Matviienko
Nathan Milstein,Q434055,Ukraine,Odesa,Ukraine,https://en.wikipedia.org/wiki/Nathan_Milstein
Oleksandr Ponomariov,Q540915,Ukraine,Khmelnytskyi,Ukraine,https://en.wikipedia.org/wiki/Oleksandr_Ponomariov
Eduard Romanyuta,Q4397461,Ukraine,Ternopil,Ukraine,https://en.wikipedia.org/wiki/Eduard_Romanyuta
Alexander Spendiaryan,Q969702,Ukraine,Kakhovka,Russian Empire,https://en.wikipedia.org/wiki/Alexander_Spendiaryan
Leonid Utyosov,Q541493,Ukraine,Odesa,Russian Empire,https://en.wikipedia.org/wiki/Leonid_Utesov
Nastya Kamenskikh,Q289212,Ukraine,Kyiv Oblast,Ukraine,https://en.wikipedia.org/wiki/NK_(singer)
Nikolai Gubenko,Q1983805,Ukraine,Odesa,Moscow,https://en.wikipedia.org/wiki/Nikolai_Gubenko
Max Barskih,Q41272,Ukraine,Kherson,Russia,https://en.wikipedia.org/wiki/Max_Barskih
Alexander Galich,Q2459284,Ukraine,Dnipro,Soviet Union,https://en.wikipedia.org/wiki/Alexander_Galich_(writer)
Nikolai Kapustin,Q704175,Ukraine,Horlivka,Russia,https://en.wikipedia.org/wiki/Nikolai_Kapustin
Alina Pash,Q55108431,Ukraine,Bushtyno,Ukraine,https://en.wikipedia.org/wiki/Alina_Pash
Igor Krutoy,Q2631745,Ukraine,Haivoron,Russia,https://en.wikipedia.org/wiki/Igor_Krutoy
Andriy Kuzmenko,Q4245310,Ukraine,Sambir,Crimea,https://en.wikipedia.org/wiki/Andriy_Kuzmenko
Kateryna Pavlenko,Q85992998,Ukraine,Nizhyn,Ukraine,https://en.wikipedia.org/wiki/Monokate
Ciprian Porumbescu,Q389000,Ukraine,Shepit,Austrian Empire,https://en.wikipedia.org/wiki/Ciprian_Porumbescu
Volodymyr Ivasyuk,Q786521,Ukraine,Kitsman,Soviet Union,https://en.wikipedia.org/wiki/Volodymyr_Ivasiuk
Eugene Hütz,Q535444,Ukraine,Boyarka,Ukraine,https://en.wikipedia.org/wiki/Eugene_H%C3%BCtz
Dimitry of Rostov,Q980251,Ukraine,Makariv,Kyiv,https://en.wikipedia.org/wiki/Demetrius_of_Rostov
Taras Kompanichenko,Q7685533,Ukraine,Kyiv,Ukraine,https://en.wikipedia.org/wiki/Taras_Kompanichenko
Pyotr Todorovsky,Q1890642,Ukraine,Bobrynets,Russia,https://en.wikipedia.org/wiki/Pyotr_Todorovsky
Marko Kropyvnytskyi,Q2366031,Ukraine,Kropyvnytske,Russian Empire,https://en.wikipedia.org/wiki/Marko_Kropyvnytskyi
